DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Victim_id,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,Location_id
200217828,11/24/2020 0:00,11/24/2020 0:00,1615,2,Rampart,269,1,761,BRANDISH WEAPON,1822 0216 0334 0421,517,41,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,761,930,,,700 S  UNION                        AV,,34.0535,-118.2714,517
200105097,1/16/2020 0:00,1/16/2020 0:00,1515,1,Central,152,2,860,BATTERY WITH SEXUAL CONTACT,1822 2048 1259 0910 0448 0522 0305,518,16,F,H,931,MTA - BLUE LINE - 7TH AND METRO CENTER,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,600 S  FIGUEROA                     ST,,34.0509,-118.2585,518
200105099,1/16/2020 0:00,1/16/2020 0:00,1115,1,Central,166,2,888,TRESPASSING,913,519,45,F,B,516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS,,,IC,Invest Cont,888,,,,600    WALL                         ST,,34.0435,-118.2471,519
200105100,1/16/2020 0:00,1/16/2020 0:00,1,1,Central,158,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1202 0416 1310 0344,520,64,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,420,,,,CENTRAL,WILDE,34.0381,-118.2401,520
200105101,1/16/2020 0:00,1/16/2020 0:00,1310,1,Central,124,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0913 0378 0344 2028,521,51,F,W,403,DRUG STORE,,,IC,Invest Cont,442,,,,200 N  LOS ANGELES                  ST,,34.0525,-118.2432,521
200317330,9/14/2020 0:00,9/12/2020 0:00,2000,3,Southwest,327,1,480,BIKE - STOLEN,0344 1251 1822,522,24,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,1200 W  ADAMS                        BL,,34.0328,-118.2865,522
200105103,1/16/2020 0:00,1/13/2020 0:00,650,1,Central,111,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 1822 0344,523,30,F,A,101,STREET,,,IC,Invest Cont,440,,,,600 N  BROADWAY,,34.0586,-118.2402,523
200500577,3/10/2020 0:00,3/10/2020 0:00,1900,5,Harbor,503,2,888,TRESPASSING,1309 1402,524,53,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888,998,,,800 W  255TH                        ST,,33.7928,-118.2904,524
200112245,5/28/2020 0:00,5/27/2020 0:00,100,1,Central,141,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0352 1218 0344,525,59,M,B,508,FRAT HOUSE/SORORITY/DORMITORY,,,IC,Invest Cont,440,,,,300 S  FIGUEROA                     ST,,34.0542,-118.2566,525
201411997,5/14/2020 0:00,4/10/2020 0:00,1310,14,Pacific,1433,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2040 2041 1906,526,0,X,X,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,956,,,,1900    WALGROVE                     AV,,33.9984,-118.4527,526
200105108,1/16/2020 0:00,1/16/2020 0:00,400,1,Central,135,1,330,BURGLARY FROM VEHICLE,1609 1822 0329 1212 1307 0344,527,47,M,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,200 S  MAIN                         ST,,34.051,-118.2445,527
201200943,10/11/2020 0:00,10/11/2020 0:00,1,12,77th Street,1242,1,820,ORAL COPULATION,1258 1251 0531 0512 0500 0432 0913 1402 1415 0558,528,8,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,820,,,6300    6TH                          AV,,33.9828,-118.3235,528
212017734,12/2/2021 0:00,6/15/2020 0:00,800,20,Olympic,2036,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1803 0913 0601,529,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,3200    WILSHIRE                     BL,,34.0618,-118.2923,529
200105111,1/16/2020 0:00,1/16/2020 0:00,855,1,Central,128,2,624,BATTERY - SIMPLE ASSAULT,0416 0419 0340 1822,530,38,F,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,100 S  SAN PEDRO                    ST,,34.0504,-118.2409,530
200105113,1/16/2020 0:00,1/16/2020 0:00,1220,1,Central,138,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 0444,531,44,F,A,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,400 E  4TH                          ST,,34.0468,-118.2415,531
200105115,1/16/2020 0:00,1/12/2020 0:00,1000,1,Central,174,1,480,BIKE - STOLEN,344,532,33,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,480,,,,700 S  SPRING                       ST,,34.0445,-118.2523,532
200513373,8/25/2020 0:00,8/11/2020 0:00,246,5,Harbor,564,1,310,BURGLARY,0344 0321,533,0,X,X,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,310,,,,200 W  6TH                          ST,,33.7387,-118.2814,533
200105117,1/16/2020 0:00,1/14/2020 0:00,1720,1,Central,156,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 1218 0344 2004,534,22,F,B,517,MISSIONS/SHELTERS,,,IC,Invest Cont,440,,,,500 S  SAN PEDRO                    ST,,34.0437,-118.2455,534
200105118,1/16/2020 0:00,1/15/2020 0:00,1630,1,Central,148,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1218 1822 0394 0344,535,51,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,600 E  5TH                          ST,,34.0438,-118.2416,535
200105120,1/16/2020 0:00,1/14/2020 0:00,1325,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,536,23,M,H,405,CLOTHING STORE,,,IC,Invest Cont,442,,,,700 W  7TH                          ST,,34.048,-118.2577,536
200105121,1/16/2020 0:00,1/15/2020 0:00,2100,1,Central,119,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1218 1822 1202 0377 0910 0344 2034,537,71,F,W,834,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,440,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374,537
221806331,2/15/2022 0:00,4/10/2020 0:00,815,18,Southeast,1802,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0377 0910,538,28,M,H,801,MTA BUS,,,IC,Invest Cont,440,,,,200 W  MANCHESTER                   AV,,33.9601,-118.2768,538
200105126,1/16/2020 0:00,1/16/2020 0:00,1900,1,Central,176,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1218 0340 0444 0305 0429,539,59,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,8TH,SAN PEDRO,34.0385,-118.2491,539
201817164,9/13/2020 0:00,9/13/2020 0:00,2025,18,Southeast,1822,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 1310 0344 0354 0400 1814 2021,540,50,F,B,122,"VEHICLE, PASSENGER/TRUCK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,104TH                        ST,BROADWAY,33.9419,-118.2784,540
201822146,12/15/2020 0:00,12/14/2020 0:00,1000,18,Southeast,1827,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 0444 0416 0400 1813 1243,541,34,M,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626,,,,9800    BANDERA                      ST,,33.9465,-118.2397,541
200105131,1/16/2020 0:00,1/16/2020 0:00,1640,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1420 1822 0325 2024,542,14,F,H,404,DEPARTMENT STORE,,,JA,Juv Arrest,442,,,,700 W  7TH                          ST,,34.048,-118.2577,542
200105132,1/17/2020 0:00,1/17/2020 0:00,200,1,Central,153,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,543,29,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,6TH,SPRING,34.0463,-118.2515,543
200105133,1/16/2020 0:00,1/16/2020 0:00,1930,1,Central,182,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822 0377,544,33,M,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,1200 S  GRAND                        AV,,34.0402,-118.2633,544
200105134,1/16/2020 0:00,1/15/2020 0:00,1500,1,Central,145,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329,545,34,M,H,101,STREET,,,IC,Invest Cont,330,,,,5TH,LOS ANGELES,34.0461,-118.2476,545
200105135,1/16/2020 0:00,1/16/2020 0:00,1930,1,Central,119,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,546,60,M,B,101,STREET,,,IC,Invest Cont,745,,,,00    GATEWAY PLAZA                DR,,34.0551,-118.2323,546
200105139,1/16/2020 0:00,1/16/2020 0:00,1900,1,Central,111,2,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,913,547,65,F,H,504,OTHER RESIDENCE,,,IC,Invest Cont,902,,,,700 N  ALAMEDA                      ST,,34.0615,-118.2412,547
200105140,1/16/2020 0:00,1/16/2020 0:00,2215,1,Central,119,2,946,OTHER MISCELLANEOUS CRIME,0910 2052 2004,548,0,X,X,900,MTA - RED LINE - UNION STATION,,,IC,Invest Cont,946,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374,548
200105142,1/16/2020 0:00,1/16/2020 0:00,1930,1,Central,111,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822 1414 1202,549,60,M,H,121,YARD (RESIDENTIAL/BUSINESS),506,FIRE,IC,Invest Cont,745,,,,800 N  BUNKER HILL                  AV,,34.0637,-118.244,549
200105144,1/17/2020 0:00,1/16/2020 0:00,1900,1,Central,138,1,480,BIKE - STOLEN,0344 1822 2032,550,69,M,W,108,PARKING LOT,,,IC,Invest Cont,480,,,,200 S  SAN PEDRO                    ST,,34.0493,-118.2418,550
200618244,11/20/2020 0:00,11/19/2020 0:00,2030,6,Hollywood,643,1,510,VEHICLE - STOLEN,,551,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 N  LA BREA                      AV,,34.1007,-118.3494,551
200105148,1/17/2020 0:00,1/15/2020 0:00,1530,1,Central,111,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202 1822 0377 2032,552,72,F,H,101,STREET,,,IC,Invest Cont,440,,,,BROADWAY,CESAR E CHAVEZ,34.0604,-118.2393,552
200118182,9/18/2020 0:00,9/18/2020 0:00,1800,1,Central,139,1,330,BURGLARY FROM VEHICLE,0344 1609 1307 0329 1822,553,23,F,W,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330,,,,2ND                          ST,HEWITT,34.0472,-118.2352,553
211507896,4/11/2021 0:00,11/7/2020 0:00,845,15,N Hollywood,1502,2,354,THEFT OF IDENTITY,377,554,31,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,7800    BEEMAN                       AV,,34.2124,-118.4092,554
200105151,1/17/2020 0:00,1/10/2020 0:00,1600,1,Central,154,2,664,"BUNCO, PETTY THEFT",0344 0701 1822,555,26,F,B,503,HOTEL,,,AO,Adult Other,664,,,,500 S  MAIN                         ST,,34.0467,-118.2485,555
200105152,1/17/2020 0:00,1/17/2020 0:00,910,1,Central,119,2,625,OTHER ASSAULT,0356 2004 1266 0910 2052,556,35,M,H,900,MTA - RED LINE - UNION STATION,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374,556
200105154,1/17/2020 0:00,1/17/2020 0:00,1145,1,Central,154,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2004 1814 1813 0444,557,46,F,O,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,500 S  LOS ANGELES                  ST,,34.046,-118.2493,557
200805831,2/10/2020 0:00,1/30/2020 0:00,5,8,West LA,831,2,354,THEFT OF IDENTITY,0100 0930 1822,558,57,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,500 S  BURLINGAME                   AV,,34.0494,-118.4866,558
200105157,1/13/2020 0:00,1/10/2020 0:00,1515,1,Central,176,1,330,BURGLARY FROM VEHICLE,1307 0344,559,39,F,W,101,STREET,,,IC,Invest Cont,330,,,,E  8TH                          ST,SANTEE                       ST,34.0408,-118.2511,559
200105158,1/16/2020 0:00,1/16/2020 0:00,1815,1,Central,152,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0344,560,30,F,W,738,LIBRARY,,,IC,Invest Cont,440,,,,600 W  5TH                          ST,,34.0502,-118.254,560
200105159,1/16/2020 0:00,1/16/2020 0:00,1614,1,Central,152,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,561,0,X,X,733,BAR/SPORTS BAR (OPEN DAY & NIGHT),,,IC,Invest Cont,440,,,,600 S  GRAND                        AV,,34.0488,-118.2553,561
200105164,1/17/2020 0:00,1/17/2020 0:00,1345,1,Central,145,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0910,562,56,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,5TH                          ST,SAN PEDRO                    ST,34.0471,-118.2474,562
200105166,1/17/2020 0:00,1/17/2020 0:00,835,1,Central,154,2,624,BATTERY - SIMPLE ASSAULT,0305 0416 1822,563,33,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,5TH                          ST,SPRING                       ST,34.0474,-118.2496,563
200105176,1/17/2020 0:00,1/17/2020 0:00,1540,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,564,35,M,B,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 W  7TH                          ST,,34.048,-118.2577,564
200105184,1/17/2020 0:00,1/17/2020 0:00,1430,1,Central,182,2,624,BATTERY - SIMPLE ASSAULT,0416 1822,565,28,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,400 W  OLYMPIC                      BL,,34.0423,-118.2595,565
200105186,1/17/2020 0:00,1/17/2020 0:00,1400,1,Central,153,2,624,BATTERY - SIMPLE ASSAULT,2004 0417 1822,566,31,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,500 S  BROADWAY,,34.0481,-118.2507,566
200105187,1/17/2020 0:00,1/17/2020 0:00,1200,1,Central,153,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0103 1822,567,55,M,H,406,OTHER STORE,,,IC,Invest Cont,442,,,,500 S  BROADWAY,,34.0481,-118.2507,567
200105188,1/17/2020 0:00,1/14/2020 0:00,300,1,Central,134,2,624,BATTERY - SIMPLE ASSAULT,1822 1501,568,59,M,W,401,MINI-MART,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,W  3RD                          ST,S  BROADWAY,34.051,-118.248,568
200616504,10/10/2020 0:00,10/9/2020 0:00,2345,6,Hollywood,647,1,210,ROBBERY,0344 0334 1100 1315 0430 1407 2004,569,29,F,B,707,GARAGE/CARPORT,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210,998,,,5800 W  SUNSET                       BL,,34.0998,-118.3211,569
200105191,1/18/2020 0:00,1/17/2020 0:00,205,1,Central,152,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 1822 1402 0334 1414 0445 1266 2003,570,33,M,H,108,PARKING LOT,207,OTHER KNIFE,AA,Adult Arrest,230,998,,,FLOWER                       ST,6TH                          ST,34.0494,-118.2581,570
200105192,1/18/2020 0:00,1/17/2020 0:00,205,1,Central,152,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 1822 0334 1266 2003,571,30,M,O,108,PARKING LOT,207,OTHER KNIFE,AA,Adult Arrest,230,,,,FLOWER                       ST,6TH                          ST,34.0494,-118.2581,571
200105193,1/18/2020 0:00,1/17/2020 0:00,205,1,Central,152,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,572,46,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,AA,Adult Arrest,740,,,,6TH                          ST,HOPE                         ST,34.0495,-118.2563,572
200105194,1/18/2020 0:00,1/17/2020 0:00,2200,1,Central,171,1,210,ROBBERY,0344 0337 0400 1822 0319 0370 1309,573,20,M,W,108,PARKING LOT,102,HAND GUN,IC,Invest Cont,210,,,,900 S  FIGUEROA                     ST,,34.0457,-118.2665,573
201821930,12/10/2020 0:00,12/10/2020 0:00,1,18,Southeast,1802,1,121,"RAPE, FORCIBLE",1415 1402 2000 0913 1814 0527,574,18,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,998,,,8700 S  MAIN                         ST,,33.959,-118.2739,574
200317549,9/19/2020 0:00,9/19/2020 0:00,630,3,Southwest,398,1,510,VEHICLE - STOLEN,,575,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,4300 S  FIGUEROA                     ST,,34.0051,-118.2827,575
200105200,1/18/2020 0:00,1/17/2020 0:00,2300,1,Central,185,1,510,VEHICLE - STOLEN,,576,0,,,101,STREET,,,IC,Invest Cont,510,,,,1000 S  BROADWAY,,34.0409,-118.2574,576
200105201,1/17/2020 0:00,1/17/2020 0:00,600,1,Central,166,2,624,BATTERY - SIMPLE ASSAULT,0416 1218,577,40,M,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 S  SAN PEDRO                    ST,,34.0421,-118.2469,577
200105202,1/17/2020 0:00,1/17/2020 0:00,2015,1,Central,156,2,920,KIDNAPPING - GRAND ATTEMPT,0448 0400 1218 1822,578,46,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,920,,,,5TH,SAN JULIAN,34.0446,-118.245,578
200717189,12/16/2020 0:00,12/13/2020 0:00,1500,7,Wilshire,765,1,330,BURGLARY FROM VEHICLE,1822 1300 0344 2019,579,43,F,B,102,SIDEWALK,,,IC,Invest Cont,330,,,,PICO                         BL,COCHRAN,34.0496,-118.3425,579
200105204,1/17/2020 0:00,1/15/2020 0:00,2222,1,Central,162,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,580,27,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,800 S  FLOWER                       ST,,34.0473,-118.2601,580
200105205,1/18/2020 0:00,1/17/2020 0:00,1900,1,Central,162,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329,581,25,M,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,800 S  HILL                         ST,,34.0462,-118.2585,581
200817626,12/17/2020 0:00,12/16/2020 0:00,1600,8,West LA,855,1,510,VEHICLE - STOLEN,,582,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 S  BENTLEY                      AV,,34.0484,-118.4437,582
200105429,1/21/2020 0:00,1/21/2020 0:00,1500,1,Central,143,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 1822 0377 1202 0344,583,62,F,H,710,OTHER PREMISE,,,IC,Invest Cont,440,,,,400 S  BROADWAY,,34.0495,-118.2494,583
200105206,1/17/2020 0:00,1/16/2020 0:00,1930,1,Central,135,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,584,41,M,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740,,,,100 W  2ND                          ST,,34.051,-118.2445,584
200105207,1/17/2020 0:00,1/17/2020 0:00,900,1,Central,111,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,585,43,F,O,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,600    NEW HIGH                     ST,,34.0583,-118.2395,585
200105208,1/17/2020 0:00,1/17/2020 0:00,1,1,Central,124,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,586,48,M,W,726,POLICE FACILITY,,,IC,Invest Cont,745,,,,100 W  1ST                          ST,,34.0522,-118.2434,586
200506170,2/20/2020 0:00,2/20/2020 0:00,2000,5,Harbor,563,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 2000 0421 0422 0443 1813,587,33,F,W,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,AO,Adult Other,930,,,,600 W  12TH                         ST,,33.7334,-118.2902,587
200105211,1/18/2020 0:00,1/18/2020 0:00,250,1,Central,182,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,588,30,M,W,102,SIDEWALK,,,IC,Invest Cont,440,,,,S  GRAND                        AV,W  OLYMPIC                      BL,34.0416,-118.262,588
200105212,1/17/2020 0:00,1/14/2020 0:00,2000,1,Central,138,1,330,BURGLARY FROM VEHICLE,0344 1607,589,68,F,W,727,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,330,,,,400 E  2ND                          ST,,34.0477,-118.2393,589
200105214,1/18/2020 0:00,1/18/2020 0:00,100,1,Central,182,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000 1813 0319 0444,590,23,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,1200 S  OLIVE                        ST,,34.0395,-118.2622,590
200105215,1/18/2020 0:00,1/18/2020 0:00,130,1,Central,152,1,350,"THEFT, PERSON",0344 0910 2048 2024 1822,591,53,M,W,903,MTA - RED LINE - 7TH AND METRO CENTER,,,IC,Invest Cont,350,,,,600 S  FIGUEROA                     ST,,34.0509,-118.2585,591
200101159,12/12/2020 0:00,12/12/2020 0:00,10,1,Central,162,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0416 0447 0401 0913 2002 1206 1414,592,29,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,800 S  HILL                         ST,,34.0462,-118.2585,592
200105218,1/18/2020 0:00,1/17/2020 0:00,1230,1,Central,195,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,593,23,F,B,101,STREET,,,IC,Invest Cont,330,,,,18TH                         ST,MAIN                         ST,34.0328,-118.2647,593
200105219,1/18/2020 0:00,1/18/2020 0:00,255,1,Central,158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 1100 0430 1822 1218 1414 1407,594,38,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,230,998,,,800 E  6TH                          ST,,34.0408,-118.2428,594
200105221,1/18/2020 0:00,1/18/2020 0:00,130,1,Central,185,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 0344 1218 1822,595,48,M,B,102,SIDEWALK,,,IC,Invest Cont,440,,,,12TH                         ST,SANTEE                       ST,34.0363,-118.2573,595
200105224,1/18/2020 0:00,1/17/2020 0:00,1900,1,Central,162,1,510,VEHICLE - STOLEN,,596,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,800 S  HILL                         ST,,34.0462,-118.2585,596
200105225,1/18/2020 0:00,1/14/2020 0:00,1700,1,Central,182,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,597,34,F,B,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,1000 S  GRAND                        AV,,34.043,-118.2606,597
200105226,1/18/2020 0:00,1/16/2020 0:00,2100,1,Central,152,1,220,ATTEMPTED ROBBERY,0337 0334 0416 0913 1202 1019 1309,598,69,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,,,,S  5TH,GRAND,34.0502,-118.254,598
200105227,1/18/2020 0:00,1/17/2020 0:00,2115,1,Central,185,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,599,23,M,A,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745,,,,11TH,SANTEE,34.0378,-118.2561,599
200105228,1/18/2020 0:00,1/17/2020 0:00,2200,1,Central,185,1,330,BURGLARY FROM VEHICLE,0344 1609 1307 0329 1822,600,30,F,H,101,STREET,,,IC,Invest Cont,330,,,,11TH,SANTEE,34.0378,-118.2561,600
200105232,1/18/2020 0:00,1/18/2020 0:00,840,1,Central,151,2,860,BATTERY WITH SEXUAL CONTACT,0305 1601 0522 1822 0910,601,31,F,H,744,HIGH-RISE BUILDING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,7TH,FIGUEROA,34.0499,-118.2614,601
210409743,6/14/2021 0:00,3/14/2020 0:00,1036,4,Hollenbeck,443,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,602,45,M,I,701,HOSPITAL,,,AO,Adult Other,956,,,,1400 E  LAKE                         AV,,34.0609,-118.2052,602
200105235,1/18/2020 0:00,1/18/2020 0:00,725,1,Central,111,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2004 2000 1814 0913 0444 0416 0408 0401 1414,603,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,500 N  FIGUEROA                     ST,,34.0617,-118.2469,603
200105237,1/18/2020 0:00,1/17/2020 0:00,930,1,Central,122,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0421,604,38,F,H,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",511,VERBAL THREAT,IC,Invest Cont,930,,,,100 N  HILL                         ST,,34.0572,-118.2481,604
200105238,1/18/2020 0:00,1/17/2020 0:00,1820,1,Central,141,1,761,BRANDISH WEAPON,0919 0345 0329 1307 0334 1822,605,28,M,W,101,STREET,207,OTHER KNIFE,IC,Invest Cont,761,,,,4TH,FIGUEROA,34.0538,-118.256,605
200105240,1/18/2020 0:00,1/16/2020 0:00,1900,1,Central,139,1,330,BURGLARY FROM VEHICLE,0344 0329 1612 1822 1202,606,61,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330,,,,300 S  SANTA FE                     AV,,34.046,-118.2326,606
200105241,1/18/2020 0:00,1/18/2020 0:00,200,1,Central,162,1,330,BURGLARY FROM VEHICLE,1307 0344 0329 1609 1822,607,23,M,W,101,STREET,,,IC,Invest Cont,330,,,,9TH,FLOWER,34.0458,-118.2614,607
